objective_job_similarity,experience_years,education_match,certification_overlap,matching_skills,matched_score
0.27980882,0.0,-1,-1,-1,0.85
0.43089345,0.0,-1,-1,-1,0.75
0.03128174,0.0,0,-1,0,0.416666667
0.14572072,13.83,0,-1,0,0.7600000000000001
0.118016,-2.0,1,0,0,0.65
0.27685022,7.5,0,0,0,0.85
-0.01662821,0.67,0,-1,0,0.65
-0.01662821,-1.0,1,0,0,0.65
0.048294574,0.0,0,0,0,0.55
0.017507132,0.0,0,-1,0,0.383333333
0.17112017,1.0,1,-1,0,0.75
0.024835313,0.0,0,0,0,0.65
0.008800279,-0.17,-1,-1,-1,0.65
0.1334451,0.17,0,0,0,0.316666667
-0.08997743,0.0,1,0,0,0.583333333
0.023681022,0.0,0,0,2,0.85
-0.010831006,-2.09,0,-1,0,0.85
0.19040579,0.0,0,-1,0,0.626666667
0.08685942,0.0,1,0,0,0.333333333
0.05987769,0.0,0,-1,-1,0.65
0.021317014,0.0,1,0,0,0.2166666666666666
0.15477876,0.0,1,-1,0,0.85
0.1952952,0.0,0,-1,0,0.65
0.05220863,-2.0,0,-1,-1,0.85
0.08933632,0.0,0,-1,0,0.65
0.04045489,0.0,1,0,0,0.65
0.0850343,0.0,1,-1,0,0.85
0.038029455,0.0,0,-1,0,0.596666667
0.008800279,-0.25,-1,-1,-1,0.85
0.008013582,0.0,0,0,1,0.75
0.27344126,1.0,0,-1,0,0.383333333
0.38473535,2.58,1,-1,0,0.85
0.03128174,33.25,0,-1,1,0.85
-0.01662821,0.0,0,-1,0,0.65
0.05987769,2.58,1,-1,-1,0.85
0.36743954,0.0,0,-1,0,0.75
0.2268717,0.75,1,0,0,0.816666667
0.116162434,0.0,0,-1,0,0.623333333
-0.100579485,1.42,1,0,0,0.716666667
0.008013582,-0.5,0,-1,0,0.65
0.038029455,-3.67,0,-1,0,0.783333333
0.3374791,0.0,1,-1,-1,0.716666667
0.059361633,16.08,0,-1,0,0.55
0.1683057,2.0,1,-1,-1,0.85
0.021317014,3.09,1,-1,0,0.85
-0.100579485,2.32,1,1,0,0.783333333
-0.100579485,0.0,0,-1,0,0.7166666666666667
0.13928895,0.0,-1,0,0,0.65
0.008800279,13.16,-1,-1,-1,0.5333333333333333
0.17533055,1.67,0,-1,0,0.65
0.33127496,0.84,0,-1,0,0.6
0.024835313,0.08,1,-1,0,0.7833333333333333
0.045349445,40.08,-1,-1,-1,0.483333333
0.10253388,8.5,0,-1,0,0.85
0.31998986,-0.83,0,-1,0,0.716666667
0.044875897,0.0,0,-1,0,0.75
-0.024697397,0.0,0,-1,0,0.48
-0.01662821,0.0,0,-1,0,0.783333333
0.03128174,13.67,0,-1,1,0.85
0.09424694,-2.0,0,-1,0,0.85
0.023192583,0.0,1,-1,0,0.65
0.2700926,0.0,0,-1,0,0.693333333
0.0850343,0.0,1,-1,0,0.65
0.36118948,25.5,0,-1,0,0.76
0.27558166,0.5,0,-1,0,0.736666667
-0.01662821,22.0,0,-1,0,0.783333333
0.19073012,6.08,0,-1,0,0.65
0.019399567,1.83,1,-1,0,0.34
0.073636524,0.0,0,-1,0,0.623333333
0.28551942,0.0,1,-1,-1,0.85
0.17422314,0.0,0,-1,0,0.656666667
0.05987769,0.0,0,-1,-1,0.693333333
0.059839968,0.0,1,-1,-1,0.85
0.24609517,0.0,0,-1,-1,0.826666667
0.017507132,-1.08,1,-1,0,0.57
0.008800279,19.17,-1,-1,-1,0.85
0.46084172,0.25,-1,-1,-1,0.826666667
0.044875897,18.25,1,-1,0,0.76
0.21113396,1.17,1,0,0,0.683333333
0.16224793,0.0,1,0,0,0.75
0.11688257,14.33,1,-1,0,0.85
0.21554929,0.0,1,-1,1,0.716666667
0.05317596,3.67,0,-1,0,0.85
0.25445974,0.42,0,-1,1,0.65
0.026869461,3.58,1,-1,-1,0.2266666666666666
0.1625959,0.0,0,-1,0,0.55
0.26260272,22.16,0,-1,0,0.75
-0.03478033,1.42,0,-1,0,0.6
0.20980623,2.25,0,0,0,0.55
0.25586224,0.0,1,0,0,0.85
-0.03478033,18.92,0,-1,0,0.65
0.28674653,0.0,0,-1,0,0.65
0.27462828,0.67,0,-1,1,0.683333333
0.059839968,0.42,0,-1,-1,0.85
0.059839968,0.0,0,-1,-1,0.85
0.026869461,0.0,1,-1,-1,0.716666667
0.17995629,8.5,0,-1,0,0.85
0.07291524,0.0,0,-1,0,0.85
0.05987769,35.67,1,-1,-1,0.65
0.120233916,0.0,1,-1,-1,0.793333333
0.15345989,0.5,0,-1,0,0.65
0.044875897,1.0,0,-1,0,0.343333333
0.021317014,0.0,0,-1,0,0.35
0.08322382,33.0,1,0,0,0.65
0.26063964,2.0,0,-1,0,0.826666667
0.26399004,1.0,1,-1,0,0.8166666666666668
0.26987258,0.0,0,-1,0,0.716666667
-0.02847659,14.0,0,-1,-1,0.65
0.33833945,1.5,1,-1,0,0.55
0.21321434,0.0,-1,0,0,0.16
0.017507132,-0.83,1,-1,0,0.65
0.03054146,0.0,0,-1,0,0.65
-0.01662821,1.5,0,0,1,0.783333333
-0.010831006,1.0,0,-1,0,0.65
0.17791982,13.83,0,-1,0,0.75
-0.02847659,0.0,1,-1,0,0.716666667
0.16210729,0.0,0,0,0,0.35
0.008800279,0.0,-1,-1,-1,0.893333333
0.0850343,0.0,0,-1,0,0.65
0.062068526,0.0,1,-1,0,0.65
0.008800279,0.0,-1,-1,-1,0.85
0.023681022,-0.42,1,-1,0,0.85
