address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,﻿job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
,,"['Technical Support', 'Telecom Support', 'Networking Support', 'Software/PC/LAN Troubleshooting', 'Installing, Configuring, Troubleshooting Windows, Linux and OS X', 'Installing, Configuring, Troubleshooting SoHo Networks', 'Creating & Updating documentation', 'Software Installation, configuring, and Troubleshooting', 'Implementing, Configuring network and End User Security', 'Mobile device Support', 'Printer Support', 'CLI Knowledge', 'VOIP, Video Chat Support', 'Critical Thinking with Root Cause Analysis', 'Encryption', 'File Structures', 'Network Protocols', 'AAA Security Model', 'Accounts and Group policy', 'Browser Support', 'Operating Systems: Windows 7-10, Ubuntu 14.04, OS X 10.8-10.11, ChromeOS, iOS9, Android', 'Applications: MS Office 2010-2016 (Word, Excel, PowerPoint, Outlook), Google Apps (Drive, Docs, Sheets, Slides, Keep, Forms, Sites), Google Drive Sync Client, Internet Explorer, Firefox, Chrome, Safari, Edge, OpenVPN, Wireshark, Sublime Text, MSRA, Microsoft RDP, OpenSSH, Puppet, SCCM 2012 iOS-MDM', 'Networking: TCP/IP, DNS, DHCP, LAN/WAN, VPN/Remote Connectivity - OpenVPN, some basic Cisco iOS, Microsoft Virtual PC/Hyper-V, TeamViewer, Terminal Services, Netgear, Linksys, Firewall, Ports, experience in Routing & Switching (OSPF / BGP / VLAN / STP)', 'Hardware: Dell, HP, IBM/Lenovo, Apple, Microsoft, desktop, laptops. Android Smartphones tables, and wearables. iPhones and iPads. Printers, Routers, Switches, Modems, Wireless Routers, Video Conferencing equipment (TV, Projectors, Microphones, Speakers)', 'Security: Basic knowledge of IPSEC / SSL-VPN / NAT / GRE, some experience with Authentication Protocols (Radius / TACACS), Strong desire to learn more', 'A+', 'Active Directory', 'Antivirus', 'Apple', 'Bash', 'Basic', 'BGP', 'CAD', 'call center', 'CCNA', 'CD-ROM', 'CLI', 'Cisco iOS', 'Cisco', 'com', 'Hardware', 'computer hardware', 'Council', 'Critical Thinking', 'Encryption', 'Client', 'Dell', 'DHCP', 'documentation', 'DNS', 'Edge', 'email', 'Firewall', 'Forms', 'Help Desk Support', 'HP', 'IBM', 'Insurance', 'Internet Explorer', 'LAN', 'laptops', 'Linux and OS', 'Linux', 'access', 'Excel', 'mail', 'Microsoft Office', 'MS Office', 'Outlook', 'PowerPoint', 'Windows 7', 'Microsoft Windows', 'Windows', 'Word', 'Modems', 'MSI', 'Networking I', 'Network', 'Networking', 'Networks', 'Operating Systems', 'OS', 'OSPF', 'policies', 'Printer', 'Printers', 'Protocols', 'Python', 'Routers', 'Routing', 'scripting', 'Software Installation', 'SolidWorks', 'SSL', 'Switches', 'system administration', 'tables', 'TCP/IP', 'TV', 'troubleshooting I', 'Troubleshooting', 'Video', 'Video Conferencing', 'VPN', 'VOIP', 'WAN']",,,,,,,"['Company Name', 'Company Name']","[None, None]","['01/2015', '06/2012']","['Current', '08/2014']","[['Remote Support', 'Troubleshooting', 'Platform Support', 'Software Installation', 'Account Management', 'Collaboration'], ['Remote Support', 'Software Installation', 'Troubleshooting', 'Security Implementation', 'Collaboration']]","['Corporate Engineering Support Technician', 'Help Desk Support Analyst II']","['City , State', 'City , State']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,,,,,,['CBTNuggets.com'],"[['System Administration', 'Windows Server', 'Networking', 'Security', 'System Management']]",[None],['N/A'],[None],Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.97




,"A highly experienced skilled graduate with Analytics degree with a very good experience in SAS, Web scraping, SQL, Predictive modelling and data visualization. Excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; Ensures the organization uses it effectively to reach profit and growth objectives. Comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. More than six years of experience working as a researcher, data analyst, and environmental science and Technology Instructor. Experience in SQL, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. Customer segmentation, product positioning and mapping and conjoint analysis Modelling: Design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict Diversified experience with Engineering, Manufacturing, Retailing, Higher Education and IT /Data related companies Fascinated by learning cutting edge technologies, such as; Data Mining and Machine Learning Handled a team of 4 during my 3 years of Tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.","['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops']","['University of New Hampshire', 'UNESCO-IHE', 'Debub University']","['Master of Science', 'Master of Science', 'Bachelor of Science']","['2017', '2010', '2004']","['4.0', None, None]","['GPA', None, None]","['Analytics', 'Environmental Science and Technology', 'Resource Management']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['01/2013', '01/2007', '01/2004']","['01/2016', '01/2012', '01/2006']","[['SQL', 'JMP'], ['SQL', 'SPSS'], None]","['Engineering and Quality Technician', 'Lecturer in Environmental Science and Technology', 'Assistant Lecturer in Natural Resource Management']","['City, State', 'N/A', 'N/A']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,,,,,,,,,,,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.936666667



,Experienced product development Engineer and manager able to collaborate with cross functional team as well as customers and sales to bring brand new offerings to new markets. Skilled at managing cross functional team for continuous improvements and meeting project deadlines. Offering 6 years of experience in the field.,"['Microsoft Office', 'Microsoft Project', 'Product development', 'Quality', 'Research', 'Six Sigma Green Belt', 'Solid Works', 'Visio', 'Prioritization', 'Personnel management', 'Critical thinking skills', 'Team management', 'Analyst', 'Agency', 'Consulting', 'Cost analysis', 'Critical thinking', 'Designing', 'Dialysis', 'Direction', 'Develop drug', 'Functional', 'IIa', 'ISO', 'Leadership', 'Market and development', 'Design process', 'Product management', 'Researching', 'Sales', 'Six Sigma', 'Validation']",['Temple University'],['Bachelor of Science'],['05/2013'],['N/A'],['N/A'],['Mechanical Engineering'],"['N/A', 'Company Name', 'Company Name']","[None, None, None]","['03/2018', '03/2017', '06/2013']","['Current', '03/2018', '03/2017']","[['Team management', 'Personnel management', 'Quality', 'Product development', 'Research', 'ISO', 'Leadership'], ['Design process', 'Validation', 'Solid Works', 'ISO', 'Product management', 'Quality', 'Research'], ['Design process', 'Validation', 'Research', 'ISO', 'Leadership', 'Product management', 'Quality']]","['Engineering Manager', 'Project Engineer II', 'Engineer I']","['City, State', 'City, State', 'City, State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,,,,,,"['Management Leadership Certification', 'Six Sigma Greenbelt certification']","[None, None]","[None, None]","[None, None]","[None, None]",Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.936666667
